Country,Project Name,Unit Name,Project Name in Local Language / Script,Other Name(s),Capacity (MW),Fuel 1,Fuel 2,Fuel 3,Operating Status,Is conversion?,Start year,Retired year,Operator,Operator Name in Local Language / Script,Owner,Owner Name in Local Language / Script,Latitude,Longitude,Location accuracy,City,"Local area (taluk, county)","Major area (prefecture, district)",State/Province,Subregion,Region,GEM location ID,GEM phase ID,Other IDs (location),Other IDs (unit/phase),Wiki URL
Brazil,Colombo Santa Albertina power station,1,Usina sucroenergética Colombo Santa Albertina,,50,agricultural waste (solids),,,operating,no conversion,2009,,Colombo Bioenergia SA,,Colombo Bioenergia SA,,-20.0361,-50.6662,exact,Santa Albertina,,,São Paulo,Latin America and the Caribbean,Americas,L200480,G200543,"WRI: BRA0030267, ANEEL: UTE.AI.SP.030267-8.1",,https://gem.wiki/Colombo_Santa_Albertina_power_station
Brazil,Colorado power station,1,Usina sucroenergética Colorado,,57,agricultural waste (solids),,,operating,no conversion,1981,,Açúcar e Álcool Oswaldo Ribeiro de Mendonça Ltda,,Açúcar e Álcool Oswaldo Ribeiro de Mendonça Ltda,,-20.2792,-48.1755,exact,Guaíra,,,São Paulo,Latin America and the Caribbean,Americas,L200481,G200544,"WRI: BRA0028094, ANEEL: UTE.AI.SP.028094-1.1",,https://gem.wiki/Colorado_power_station
Brazil,Conquista do Pontal power station,1,Usina sucroenergética Conquista do Pontal,,110,agricultural waste (solids),,,operating,no conversion,2010,,Usina Conquista do Pontal SA,,Usina Conquista do Pontal SA,,-22.1202,-51.7568,exact,Mirante do Paranapanema,,,São Paulo,Latin America and the Caribbean,Americas,L200482,G200545,"WRI: BRA0030024, ANEEL: UTE.AI.SP.030024-1.1",,https://gem.wiki/Conquista_do_Pontal_power_station
Brazil,Coruripe Energética - Filial Campo Florido power station,1,Usina sucroenergética Coruripe Energética - Filial Campo Florido,,30,agricultural waste (solids),,,operating,no conversion,2008,,Coruripe Energética SA,,Coruripe Energética SA,,-19.8089,-48.7295,exact,Campo Florido,,,Minas Gerais,Latin America and the Caribbean,Americas,L200483,G200546,"WRI: BRA0029703, ANEEL: UTE.AI.MG.029703-8.1",,https://gem.wiki/Coruripe_Energética_-_Filial_Campo_Florido_power_station
Brazil,Coruripe power station,1,Usina sucroenergética Coruripe,,32,agricultural waste (solids),,,operating,no conversion,2006,,Usina Coruripe Açúcar e Álcool,,Usina Coruripe Açúcar e Álcool,,-10.1234,-36.2742,exact,Coruripe,,,Alagoas,Latin America and the Caribbean,Americas,L200484,G200547,ANEEL: UTE.AI.AL.029161-7.1,,https://gem.wiki/Coruripe_power_station
Brazil,Costa Pinto power station,1,Usina sucroenergética Costa Pinto,,75,agricultural waste (solids),,,operating,no conversion,1977,,Bioenergia Costa Pinto Ltda,,Bioenergia Costa Pinto Ltda,,-22.6357,-47.6749,exact,Piracicaba,,,São Paulo,Latin America and the Caribbean,Americas,L200485,G200548,"WRI: BRA0028221, ANEEL: UTE.AI.SP.028221-9.1",,https://gem.wiki/Costa_Pinto_power_station
Brazil,CVW Coruripe power station,1,Usina sucroenergética CVW Coruripe,,40,agricultural waste (solids),,,announced,no conversion,2026,,CVW Energética Ltda,,CVW Energética Ltda,,-10.1266,-36.2731,approximate,Coruripe,,,Alagoas,Latin America and the Caribbean,Americas,L200414,G200460,ANEEL: UTE.AI.AL.049853-0.01,,https://gem.wiki/CVW_Coruripe_power_station
Brazil,Da Mata 2 power station,1,Usina sucroenergética Da Mata 2,,40,agricultural waste (solids),,,operating,no conversion,2009,,Da Mata SA - Açúcar e Álcool,,Da Mata SA - Açúcar e Álcool,,-21.0507,-50.8439,exact,Valparaíso,,,São Paulo,Latin America and the Caribbean,Americas,L200486,G200549,ANEEL: UTE.AI.SP.035773-1.1,,https://gem.wiki/Da_Mata_2_power_station
Brazil,Da Mata 2 power station,2,Usina sucroenergética Da Mata 2,,30,agricultural waste (solids),,,operating,no conversion,2015,,Da Mata SA - Açúcar e Álcool,,Da Mata SA - Açúcar e Álcool,,-21.0507,-50.8439,exact,Valparaíso,,,São Paulo,Latin America and the Caribbean,Americas,L200486,G200550,ANEEL: UTE.AI.SP.035773-1.1,,https://gem.wiki/Da_Mata_2_power_station
Brazil,Da Mata power station,1,Usina sucroenergética Da Mata,,50,agricultural waste (solids),,,operating,no conversion,2022,,Da Mata SA - Açúcar e Álcool,,Da Mata SA - Açúcar e Álcool,,-21.0509,-50.8441,exact,Valparaíso,,,São Paulo,Latin America and the Caribbean,Americas,L200487,G200551,"ANEEL: UTE.AI.SP.029774-7.1, WRI: 29774",,https://gem.wiki/Da_Mata_power_station
