Country,Project Name,Unit Name,Project Name in Local Language / Script,Other Name(s),Capacity (MW),Fuel 1,Fuel 2,Fuel 3,Operating Status,Is conversion?,Start year,Retired year,Operator,Operator Name in Local Language / Script,Owner,Owner Name in Local Language / Script,Latitude,Longitude,Location accuracy,City,"Local area (taluk, county)","Major area (prefecture, district)",State/Province,Subregion,Region,GEM location ID,GEM phase ID,Other IDs (location),Other IDs (unit/phase),Wiki URL
Brazil,Moema power station,1,Usina sucroenergética Moema,,89,agricultural waste (solids),,,operating,no conversion,1994,,Bunge Açúcar e Bioenergia SA,,Bunge Açúcar e Bioenergia SA,,-20.2018,-49.3556,exact,Orindiúva,,,São Paulo,Latin America and the Caribbean,Americas,L200544,G200620,"WRI: BRA0027886, ANEEL: UTE.AI.SP.027886-6.1",,https://gem.wiki/Moema_power_station
Brazil,Mogiana Bio-Energia power station,1,Usina sucroenergética Mogiana Bio-Energia,Alta Mogiana II-2,33,agricultural waste (solids),,,operating,no conversion,2012,,Usina Alta Mogiana SA,,Usina Alta Mogiana SA,,-20.4724,-47.8749,exact,São Joaquim da Barra,,,São Paulo,Latin America and the Caribbean,Americas,L200545,G200621,ANEEL: UTE.AI.SP.030447-6.1,,https://gem.wiki/Mogiana_Bio-Energia_power_station
Brazil,Nardini power station,1,Usina sucroenergética Nardini,,54,agricultural waste (solids),,,operating,no conversion,1994,,Companhia Energetica Nardini,,Companhia Energetica Nardini,,-21.1815,-48.6447,exact,Vista Alegre do Alto,,,São Paulo,Latin America and the Caribbean,Americas,L200547,G200624,"WRI: BRA0001528, ANEEL: UTE.AI.SP.001528-8.1",,https://gem.wiki/Nardini_power_station
Brazil,NG Bioenergia I power station,1,Usina sucroenergética NG Bioenergia I,,47,agricultural waste (solids),,,operating,no conversion,2017,,Nova Gália Bioenergia Ltda,,Nova Gália Bioenergia Ltda,,-17.3304,-50.4957,exact,Paraúna,,,Goiás,Latin America and the Caribbean,Americas,L200548,G200625,"WRI: BRA0031033, ANEEL: UTE.AI.GO.031033-6.1",,https://gem.wiki/NG_Bioenergia_I_power_station
Brazil,Onça Pintada power station,1,Usina de biomassa Onça Pintada,,50,wood & other biomass (solids),,,operating,no conversion,2021,,Eldorado Brasil Celulose SA,,Eldorado Brasil Celulose SA,,-20.3839,-51.4258,exact,Três Lagoas,,,Mato Grosso do Sul,Latin America and the Caribbean,Americas,L200550,G200627,ANEEL: UTE.FL.MS.035085-0.1,,https://gem.wiki/Onça_Pintada_power_station
Brazil,Paraguaçu Paulista power station,1,Usina sucroenergética Paraguaçu Paulista,,30,agricultural waste (solids),,,announced,no conversion,2026,,Raízen Paraguaçu Ltda,,Raízen Paraguaçu Ltda,,-22.4638,-50.4938,approximate,Paraguaçu Paulista,,,São Paulo,Latin America and the Caribbean,Americas,L200415,G200461,ANEEL: UTE.AI.SP.028078-0.01,,https://gem.wiki/Paraguaçu_Paulista_power_station
Brazil,Paranapanema power station,1,Usina sucroenergética Paranapanema,,60,agricultural waste (solids),,,operating,no conversion,2012,,UMOE Bioenergy SA,,UMOE Bioenergy SA,,-22.5463,-51.8189,exact,Sandovalina,,,São Paulo,Latin America and the Caribbean,Americas,L200551,G200628,"WRI: BRA0030561, ANEEL: UTE.AI.SP.030561-8.1",,https://gem.wiki/Paranapanema_power_station
Brazil,Passa Tempo power station,1,Usina sucroenergética Passa Tempo,,30,agricultural waste (solids),,,operating,no conversion,2001,,Biosev SA,,Biosev SA,,-21.6962,-54.5573,exact,Rio Brilhante,,,Mato Grosso do Sul,Latin America and the Caribbean,Americas,L200552,G200629,"ANEEL: UTE.AI.MS.028111-5.1, WRI: BRA0028111",,https://gem.wiki/Passa_Tempo_power_station
Brazil,Passa Tempo power station,2,Usina sucroenergética Passa Tempo,,45,agricultural waste (solids),,,operating,no conversion,2013,,Biosev SA,,Biosev SA,,-21.6962,-54.5573,exact,Rio Brilhante,,,Mato Grosso do Sul,Latin America and the Caribbean,Americas,L200552,G200630,"ANEEL: UTE.AI.MS.028111-5.1, WRI: BRA0028111",,https://gem.wiki/Passa_Tempo_power_station
Brazil,Paulicéia power station,1,Usina sucroenergética Paulicéia,,34,agricultural waste (solids),,,operating,no conversion,2013,,Usina Caeté SA,,Usina Caeté SA,,-21.3093,-51.8471,exact,Paulicéia,,,São Paulo,Latin America and the Caribbean,Americas,L200553,G200631,"WRI: BRA0030683, ANEEL: UTE.AI.SP.030683-5.1",,https://gem.wiki/Paulicéia_power_station
Brazil,Pedro Afonso power station,1,Usina sucroenergética Pedro Afonso,,80,agricultural waste (solids),,,operating,no conversion,2013,,Pedro Afonso Bioenergia Ltda,,Pedro Afonso Bioenergia Ltda,,-9.1980,-48.1433,exact,Pedro Afonso,,,Tocantins,Latin America and the Caribbean,Americas,L200554,G200632,"WRI: BRA0030518, ANEEL: UTE.AI.TO.030518-9.1",,https://gem.wiki/Pedro_Afonso_power_station
Brazil,Pioneiros II power station,1,Usina sucroenergética Pioneiros II,,35,agricultural waste (solids),,,operating,no conversion,2013,,Pioneiros Bioenergia SA,,Pioneiros Bioenergia SA,,-20.7263,-50.9525,exact,Sud Mennucci,,,São Paulo,Latin America and the Caribbean,Americas,L200555,G200633,"WRI: BRA0029642, ANEEL: UTE.AI.SP.029642-2.1",,https://gem.wiki/Pioneiros_II_power_station
Brazil,Pioneiros power station,1,Usina sucroenergética Pioneiros,,32,agricultural waste (solids),,,operating,no conversion,2006,,Pioneiros Bioenergia SA,,Pioneiros Bioenergia SA,,-20.7283,-50.9597,exact,Sud Mennucci,,,São Paulo,Latin America and the Caribbean,Americas,L200556,G200634,"WRI: BRA0028047, ANEEL: UTE.AI.SP.028047-0.1",,https://gem.wiki/Pioneiros_power_station
Brazil,Pitangueiras power station,3,Usina sucroenergética Pitangueiras,,45,agricultural waste (solids),,,operating,no conversion,2019,,Pitangueiras Açúcar e Álcool Ltda,,Pitangueiras Açúcar e Álcool Ltda,,-21.0522,-48.2626,exact,Pitangueiras,,,São Paulo,Latin America and the Caribbean,Americas,L200557,G200635,ANEEL: UTE.AI.SP.028859-4.1,,https://gem.wiki/Pitangueiras_power_station
Brazil,Porto das Águas II power station,2,Usina sucroenergética Porto das Águas II,,35,agricultural waste (solids),,,operating,no conversion,2011,,Cerradinho Bioenergia SA,,Cerradinho Bioenergia SA,,-18.4670,-52.6091,exact,Chapadão do Céu,,,Goiás,Latin America and the Caribbean,Americas,L200558,G200636,"WRI: BRA0029999, ANEEL: UTE.AI.GO.055534-7.1",,https://gem.wiki/Porto_das_Águas_II_power_station
Brazil,Porto das Águas II power station,4,Usina sucroenergética Porto das Águas II,,45,agricultural waste (solids),,,operating,no conversion,2011,,Cerradinho Bioenergia SA,,Cerradinho Bioenergia SA,,-18.4670,-52.6091,exact,Chapadão do Céu,,,Goiás,Latin America and the Caribbean,Americas,L200558,G200637,"WRI: BRA0029999, ANEEL: UTE.AI.GO.055534-7.1",,https://gem.wiki/Porto_das_Águas_II_power_station
Brazil,Porto das Águas power station,1,Usina sucroenergética Porto das Águas,,35,agricultural waste (solids),,,operating,no conversion,2011,,Cerradinho Bioenergia SA,,Cerradinho Bioenergia SA,,-18.4670,-52.6091,exact,Chapadão do Céu,,,Goiás,Latin America and the Caribbean,Americas,L200559,G200638,"WRI: BRA0029999, ANEEL: UTE.AI.GO.029999-5.1",,https://gem.wiki/Porto_das_Águas_power_station
Brazil,Porto das Águas power station,3,Usina sucroenergética Porto das Águas,,45,agricultural waste (solids),,,operating,no conversion,2011,,Cerradinho Bioenergia SA,,Cerradinho Bioenergia SA,,-18.4670,-52.6091,exact,Chapadão do Céu,,,Goiás,Latin America and the Caribbean,Americas,L200559,G200639,"WRI: BRA0029999, ANEEL: UTE.AI.GO.029999-5.1",,https://gem.wiki/Porto_das_Águas_power_station
Brazil,Potirendaba I power station,1,Usina sucroenergética Potirendaba I,Cerradinho Potirendaba,40,agricultural waste (solids),,,operating,no conversion,2008,,COFCO International Brasil SA,,COFCO International Brasil SA,,-21.0999,-49.3177,exact,Potirendaba,,,São Paulo,Latin America and the Caribbean,Americas,L200560,G200640,"WRI: BRA0029655, ANEEL: UTE.AI.SP.029655-4.1",,https://gem.wiki/Potirendaba_I_power_station
Brazil,Puma II power station,1,Usina de biomassa Puma II,,135,paper mill wastes,,,operating,no conversion,2022,,Klabin SA,,Klabin SA,,-24.2443,-50.7435,exact,Ortigueira,,,Paraná,Latin America and the Caribbean,Americas,L200563,G200643,ANEEL: UTE.FL.PR.045824-4.1,,https://gem.wiki/Puma_II_power_station
Brazil,Quatá power station,1,Usina sucroenergética Quatá,,30,agricultural waste (solids),,,operating,no conversion,2009,,Açucareira Quatá SA,,Açucareira Quatá SA,,-22.2491,-50.6525,exact,Quatá,,,São Paulo,Latin America and the Caribbean,Americas,L200564,G200644,ANEEL: UTE.AI.SP.028288-0.1,,https://gem.wiki/Quatá_power_station
Brazil,Quatá power station,2,Usina sucroenergética Quatá,,30,agricultural waste (solids),,,operating,no conversion,2009,,Açucareira Quatá SA,,Açucareira Quatá SA,,-22.2491,-50.6525,exact,Quatá,,,São Paulo,Latin America and the Caribbean,Americas,L200564,G200645,ANEEL: UTE.AI.SP.028288-0.1,,https://gem.wiki/Quatá_power_station
Brazil,Quirinópolis power station,1,Usina sucroenergética Quirinópolis,Usina São Francisco,40,agricultural waste (solids),,,operating,no conversion,2007,,SJC Bioenergia Ltda,,SJC Bioenergia Ltda,,-18.4252,-50.4417,exact,Quirinópolis,,,Goiás,Latin America and the Caribbean,Americas,L200565,G200646,"WRI: BRA0029268, ANEEL: UTE.AI.GO.029268-0.1",,https://gem.wiki/Quirinópolis_power_station
Brazil,Quirinópolis power station,2,Usina sucroenergética Quirinópolis,Usina São Francisco,40,agricultural waste (solids),,,operating,no conversion,2007,,SJC Bioenergia Ltda,,SJC Bioenergia Ltda,,-18.4252,-50.4417,exact,Quirinópolis,,,Goiás,Latin America and the Caribbean,Americas,L200565,G200647,"WRI: BRA0029268, ANEEL: UTE.AI.GO.029268-0.1",,https://gem.wiki/Quirinópolis_power_station
Brazil,Rafard power station,1,Usina sucroenergética Rafard,,50,agricultural waste (solids),,,operating,no conversion,1941,,Bioenergia Rafard Ltda,,Bioenergia Rafard Ltda,,-22.9974,-47.5202,exact,Rafard,,,São Paulo,Latin America and the Caribbean,Americas,L200566,G200648,"WRI: BRA0002903, ANEEL: UTE.AI.SP.002903-3.1",,https://gem.wiki/Rafard_power_station
Brazil,Revati power station,1,Usina sucroenergética Revati,"Chapadão Agroenergia, Biopav, Usina Brejo Alegre",65,agricultural waste (solids),,,mothballed,no conversion,2008,,Grupo Integra,,Grupo Integra,,-21.2164,-50.2079,exact,,,Região Geográfica Intermediária de Araçatuba,São Paulo,Latin America and the Caribbean,Americas,L200429,G200477,"WRI: BRA0030041, WRI: BRA0030053",,https://gem.wiki/Revati_power_station
Brazil,Revati power station,2,Usina sucroenergética Revati,"Chapadão Agroenergia, Biopav, Usina Brejo Alegre",92,agricultural waste (solids),,,mothballed,no conversion,2012,,Grupo Integra,,Grupo Integra,,-21.2164,-50.2079,exact,,,Região Geográfica Intermediária de Araçatuba,São Paulo,Latin America and the Caribbean,Americas,L200429,G200478,"WRI: BRA0030041, WRI: BRA0030053",,https://gem.wiki/Revati_power_station
Brazil,Rigesa power station,1,Usina de biomassa Rigesa,,79,wood & other biomass (solids),,,operating,no conversion,2009,,WestRock Celulose Papel e Embalagens LTD,,WestRock Celulose Papel e Embalagens LTD,,-26.1020,-50.3125,exact,Três Barras,,,Santa Catarina,Latin America and the Caribbean,Americas,L200567,G200649,"ANEEL: UTE.FL.SC.027395-3.1, WRI: BRA0027395",,https://gem.wiki/Rigesa_power_station
Brazil,Rio Pardo power station,1,Usina sucroenergética Rio Pardo,,60,agricultural waste (solids),,,operating,no conversion,2009,,Albioma Rio Pardo Termoelétrica Ltda,,Albioma Rio Pardo Termoelétrica Ltda,,-23.0618,-49.1264,exact,Cerqueira César,,,São Paulo,Latin America and the Caribbean,Americas,L200568,G200650,"WRI: BRA0030065, ANEEL: UTE.AI.SP.030065-9.1",,https://gem.wiki/Rio_Pardo_power_station
Brazil,Rio Vermelho 2 power station,1,Usina sucroenergética Rio Vermelho 2,,40,agricultural waste (solids),,,operating,no conversion,2014,,Glencane Bioenergia SA,,Glencane Bioenergia SA,,-21.3524,-51.3564,exact,Junqueirópolis,,,São Paulo,Latin America and the Caribbean,Americas,L200569,G200651,"WRI: BRA0031793, ANEEL: UTE.AI.SP.031793-4.1",,https://gem.wiki/Rio_Vermelho_2_power_station
Brazil,Rio Vermelho power station,1,Usina sucroenergética Rio Vermelho,,40,agricultural waste (solids),,,operating,no conversion,2014,,Glencane Bioenergia SA,,Glencane Bioenergia SA,,-21.4874,-51.3604,exact,Junqueirópolis,,,São Paulo,Latin America and the Caribbean,Americas,L200570,G200652,"ANEEL: UTE.AI.SP.030543-0.1, WRI: BRA0030543",,https://gem.wiki/Rio_Vermelho_power_station
Brazil,Ripasa power station,1,Usina de biomassa Ripasa,,53,wood & other biomass (solids),,,operating,no conversion,1974,,Suzano SA,,Suzano SA,,-22.5945,-47.3542,exact,Limeira,,,São Paulo,Latin America and the Caribbean,Americas,L200572,G200654,"WRI: BRA0002534, ANEEL: UTE.FL.SP.002534-8.1",,https://gem.wiki/Ripasa_power_station
Brazil,Santa Adélia power station,1,Usina sucroenergética Santa Adélia,Jaboticabal,42,agricultural waste (solids),,,operating,no conversion,2002,,Termoelétrica Santa Adélia Ltda,,Termoelétrica Santa Adélia Ltda,,-21.3372,-48.2930,exact,Jaboticabal,,,São Paulo,Latin America and the Caribbean,Americas,L200573,G200655,"ANEEL: UTE.AI.SP.027343-0.1, WRI: BRA0027343",,https://gem.wiki/Santa_Adélia_power_station
Brazil,Santa Cândida I power station,1,Usina sucroenergética Santa Cândida I,,30,agricultural waste (solids),,,operating,no conversion,2002,,Geração Bioeletricidade Santa Cândida I Ltda,,Geração Bioeletricidade Santa Cândida I Ltda,,-22.1056,-48.4817,exact,Bocaina,,,São Paulo,Latin America and the Caribbean,Americas,L200574,G200656,ANEEL: UTE.AI.SP.027767-3.1,,https://gem.wiki/Santa_Cândida_I_power_station
Brazil,Santa Cândida II power station,1,Usina sucroenergética Santa Cândida II,,55,agricultural waste (solids),,,operating,no conversion,2016,,Geração Biomassa Santa Cândida II SA,,Geração Biomassa Santa Cândida II SA,,-22.1047,-48.4814,exact,Bocaina,,,São Paulo,Latin America and the Caribbean,Americas,L200575,G200657,"WRI: BRA0031739, ANEEL: UTE.AI.SP.031739-0.2",,https://gem.wiki/Santa_Cândida_II_power_station
Brazil,Santa Cruz AB power station,1,Usina sucroenergética Santa Cruz AB,Ometto,84,agricultural waste (solids),,,operating,no conversion,2009,,Bioenergetica Santa Cruz SA,,Bioenergetica Santa Cruz SA,,-21.7628,-48.0839,exact,Américo Brasiliense,,,São Paulo,Latin America and the Caribbean,Americas,L200576,G200658,"WRI: BRA0001609, ANEEL: UTE.AI.SP.001609-8.1",,https://gem.wiki/Santa_Cruz_AB_power_station
Brazil,Santa Elisa - Unidade I power station,1,Usina sucroenergética Santa Elisa - Unidade I,,58,agricultural waste (solids),,,operating,no conversion,2002,,Biosev SA,,Biosev SA,,-21.1057,-48.0680,exact,Sertãozinho,,,São Paulo,Latin America and the Caribbean,Americas,L200577,G200659,"WRI: BRA0028232, ANEEL: UTE.AI.SP.028232-4.1",,https://gem.wiki/Santa_Elisa_-_Unidade_I_power_station
Brazil,Santa Isabel power station,1,Usina sucroenergética Santa Isabel,,44,agricultural waste (solids),,,operating,no conversion,2007,,Usina Santa Isabel SA,,Usina Santa Isabel SA,,-21.5086,-49.2124,exact,Novo Horizonte,,,São Paulo,Latin America and the Caribbean,Americas,L200578,G200660,"WRI: BRA0028401, ANEEL: UTE.AI.SP.028401-7.1",,https://gem.wiki/Santa_Isabel_power_station
Brazil,Santa Juliana power station,1,Usina sucroenergética Santa Juliana,,82,agricultural waste (solids),,,operating,no conversion,2010,,Agroindustrial Santa Juliana SA,,Agroindustrial Santa Juliana SA,,-19.3023,-47.4640,exact,Santa Juliana,,,Minas Gerais,Latin America and the Caribbean,Americas,L200579,G200661,"WRI: BRA0030166, ANEEL: UTE.AI.MG.030166-3.1",,https://gem.wiki/Santa_Juliana_power_station
Brazil,Santa Luzia I power station,1,Usina sucroenergética Santa Luzia I,,50,agricultural waste (solids),,,operating,no conversion,2010,,Agro Energia Santa Luzia SA,,Agro Energia Santa Luzia SA,,-21.4666,-54.3828,exact,Nova Alvorada do Sul,,,Mato Grosso do Sul,Latin America and the Caribbean,Americas,L200580,G200662,"WRI: BRA0030006, ANEEL: UTE.AI.MS.030006-3.1",,https://gem.wiki/Santa_Luzia_I_power_station
Brazil,Santa Luzia I power station,2,Usina sucroenergética Santa Luzia I,,30,agricultural waste (solids),,,operating,no conversion,2010,,Agro Energia Santa Luzia SA,,Agro Energia Santa Luzia SA,,-21.4666,-54.3828,exact,Nova Alvorada do Sul,,,Mato Grosso do Sul,Latin America and the Caribbean,Americas,L200580,G200663,"WRI: BRA0030006, ANEEL: UTE.AI.MS.030006-3.1",,https://gem.wiki/Santa_Luzia_I_power_station
Brazil,Santa Luzia I power station,3,Usina sucroenergética Santa Luzia I,,50,agricultural waste (solids),,,operating,no conversion,2012,,Agro Energia Santa Luzia SA,,Agro Energia Santa Luzia SA,,-21.4666,-54.3828,exact,Nova Alvorada do Sul,,,Mato Grosso do Sul,Latin America and the Caribbean,Americas,L200580,G200664,"WRI: BRA0030006, ANEEL: UTE.AI.MS.030006-3.1",,https://gem.wiki/Santa_Luzia_I_power_station
Brazil,Santa Terezinha Paranacity power station,1,Usina sucroenergética Santa Terezinha Paranacity,,36,agricultural waste (solids),,,operating,no conversion,2009,,Usina de Açúcar Santa Terezinha Ltda,,Usina de Açúcar Santa Terezinha Ltda,,-22.8756,-52.1808,exact,Paranacity,,,Paraná,Latin America and the Caribbean,Americas,L200581,G200665,"WRI: BRA0028139, ANEEL: UTE.AI.PR.028139-5.1",,https://gem.wiki/Santa_Terezinha_Paranacity_power_station
Brazil,Santa Terezinha power station,1,Usina sucroenergética Santa Terezinha,,50,agricultural waste (solids),,,operating,no conversion,2006,,Usina de Açúcar Santa Terezinha Ltda,,Usina de Açúcar Santa Terezinha Ltda,,-23.7480,-52.8733,exact,Tapejara,,,Paraná,Latin America and the Caribbean,Americas,L200582,G200666,"ANEEL: UTE.AI.PR.028149-2.1, WRI: BRA0028149",,https://gem.wiki/Santa_Terezinha_power_station
Brazil,Santa Vitória power station,1,Usina sucroenergética Santa Vitória,,41,agricultural waste (solids),,,operating,no conversion,2015,,ERB MG Energias SA,,ERB MG Energias SA,,-18.7709,-50.2240,exact,Santa Vitória,,,Minas Gerais,Latin America and the Caribbean,Americas,L200583,G200667,"WRI: BRA0031268, ANEEL: UTE.AI.MG.031268-1.1",,https://gem.wiki/Santa_Vitória_power_station
Brazil,São João da Boa Vista power station,1,Usina sucroenergética São João da Boa Vista,,70,agricultural waste (solids),,,operating,no conversion,1997,,Abengoa,,Abengoa,,-21.9720,-46.7964,exact,São João da Boa Vista,,,São Paulo,Latin America and the Caribbean,Americas,L200584,G200668,"ANEEL: UTE.AI.SP.027709-6.1, WRI: BRA0027709",,https://gem.wiki/São_João_da_Boa_Vista_power_station
Brazil,São João power station,1,Usina sucroenergética São João,,41,agricultural waste (solids),,,operating,no conversion,1975,,USJ Açúcar e Álcool SA,,USJ Açúcar e Álcool SA,,-22.4264,-47.3575,exact,Araras,,,São Paulo,Latin America and the Caribbean,Americas,L200585,G200669,ANEEL: UTE.AI.SP.026832-1.1,,https://gem.wiki/São_João_power_station
Brazil,São José 2 power station,1,Usina sucroenergética São José 2,,50,agricultural waste (solids),,,announced,no conversion,2023,,Açucareira Quatá SA,,Açucareira Quatá SA,,-22.4925,-48.7836,exact,Macatuba,,,São Paulo,Latin America and the Caribbean,Americas,L200423,G200469,ANEEL: UTE.AI.SP.051535-3,,https://gem.wiki/São_José_2_power_station
Brazil,São José Colina power station,1,Usina sucroenergética São José Colina,,83,agricultural waste (solids),,,operating,no conversion,2008,,Tereos Açúcar e Energia Brasil SA,,Tereos Açúcar e Energia Brasil SA,,-20.6619,-48.5339,exact,Colina,,,São Paulo,Latin America and the Caribbean,Americas,L200586,G200670,"WRI: BRA0028975, ANEEL: UTE.AI.SP.028975-2.1",,https://gem.wiki/São_José_Colina_power_station
Brazil,São José da Estiva power station,1,Usina sucroenergética São José da Estiva,,42,agricultural waste (solids),,,operating,no conversion,1900,,UTE São José da Estiva SA,,UTE São José da Estiva SA,,-21.4872,-49.1858,exact,Novo Horizonte,,,São Paulo,Latin America and the Caribbean,Americas,L200587,G200671,"WRI: BRA0027814, ANEEL: UTE.AI.SP.027814-9.1",,https://gem.wiki/São_José_da_Estiva_power_station
Brazil,São José power station,2,Usina sucroenergética São José,"Usina AZL-São José, Açucareira Zillo Lorenzetti",55,agricultural waste (solids),,,operating,no conversion,2009,,Açucareira Quatá SA,,Açucareira Quatá SA,,-22.4835,-48.7710,exact,Macatuba,,,São Paulo,Latin America and the Caribbean,Americas,L200588,G200672,"ANEEL: UTE.AI.SP.026847-0.1, WRI: BRA0026847",,https://gem.wiki/São_José_power_station
Brazil,São Judas Tadeu power station (Minas Gerais),1,Usina sucroenergética São Judas Tadeu,,56,agricultural waste (solids),,,operating,no conversion,2009,,Sada Bio-Energia e Agricultura Ltda,,Sada Bio-Energia e Agricultura Ltda,,-15.1997,-43.8848,exact,Jaíba,,,Minas Gerais,Latin America and the Caribbean,Americas,L200589,G200673,"WRI: BRA0029759, ANEEL: UTE.AI.MG.029759-3.1",,https://gem.wiki/São_Judas_Tadeu_power_station_(Minas_Gerais)
Brazil,São Luiz power station,1,Usina sucroenergética São Luiz,,70,agricultural waste (solids),,,operating,no conversion,1999,,UPI São Luis Cogeração Ltda,,UPI São Luis Cogeração Ltda,,-21.8856,-47.3053,exact,Pirassununga,,,São Paulo,Latin America and the Caribbean,Americas,L200590,G200674,"WRI: BRA0026869, ANEEL: UTE.AI.SP.026869-0.1",,https://gem.wiki/São_Luiz_power_station
Brazil,São Martinho Boa Vista power station,1,Usina sucroenergética São Martinho Boa Vista,,44,agricultural waste (solids),,,operating,no conversion,2008,,São Martinho SA,,São Martinho SA,,-18.5444,-50.4361,exact,Quirinópolis,,,Goiás,Latin America and the Caribbean,Americas,L200591,G200675,ANEEL: UTE.AI.GO.051982-0.1,,https://gem.wiki/São_Martinho_Boa_Vista_power_station
Brazil,São Martinho Energia power station,1,Usina sucroenergética São Martinho Energia,,40,agricultural waste (solids),,,operating,no conversion,2013,,São Martinho SA,,São Martinho SA,,-21.3174,-48.1099,exact,Pradópolis,,,São Paulo,Latin America and the Caribbean,Americas,L200592,G200676,"WRI: BRA0030994, ANEEL: UTE.AI.SP.030994-0.1",,https://gem.wiki/São_Martinho_Energia_power_station
Brazil,São Martinho power station,1,Usina sucroenergética São Martinho,,33,agricultural waste (solids),,,operating,no conversion,2010,,São Martinho SA,,São Martinho SA,,-21.3580,-48.0656,exact,Pradópolis,,,São Paulo,Latin America and the Caribbean,Americas,L200593,G200677,"WRI: BRA0026874, ANEEL: UTE.AI.SP.026874-7.1",,https://gem.wiki/São_Martinho_power_station
Brazil,São Martinho power station,2,Usina sucroenergética São Martinho,,40,agricultural waste (solids),,,operating,no conversion,2013,,São Martinho SA,,São Martinho SA,,-21.3580,-48.0656,exact,Pradópolis,,,São Paulo,Latin America and the Caribbean,Americas,L200593,G200678,"WRI: BRA0026874, ANEEL: UTE.AI.SP.026874-7.1",,https://gem.wiki/São_Martinho_power_station
Brazil,Sebastianópolis I power station,1,Usina sucroenergética Sebastianópolis I,Noroeste Paulista,60,agricultural waste (solids),,,operating,no conversion,2009,,COFCO International Brasil SA,,COFCO International Brasil SA,,-20.5810,-49.9424,exact,Sebastianópolis do Sul,,,São Paulo,Latin America and the Caribbean,Americas,L200594,G200679,"ANEEL: UTE.AI.SP.029775-5.1, WRI: BRA0029775",,https://gem.wiki/Sebastianópolis_I_power_station
Brazil,Sebastianópolis II power station,1,Usina sucroenergética Sebastianópolis II,Noble Energia,30,agricultural waste (solids),,,operating,no conversion,2010,,COFCO International Brasil SA,,COFCO International Brasil SA,,-20.5810,-49.9424,exact,Sebastianópolis do Sul,,,São Paulo,Latin America and the Caribbean,Americas,L200595,G200680,"WRI: BRA0030004, ANEEL: UTE.AI.SP.030004-7.1",,https://gem.wiki/Sebastianópolis_II_power_station
Brazil,Sonora power station,1,Usina sucroenergética Sonora,,35,agricultural waste (solids),,,operating,no conversion,1984,,Sonora Estância SA,,Sonora Estância SA,,-17.6173,-54.7615,exact,Sonora,,,Mato Grosso do Sul,Latin America and the Caribbean,Americas,L200596,G200681,ANEEL: UTE.AI.MS.027385-6.1,,https://gem.wiki/Sonora_power_station
Brazil,Sorriso power station,1,Usina de biomassa Sorriso,,55,wood & other biomass (solids),,,announced,no conversion,2026,,FS Agrisolutions Industria de Biocombustiveis Ltda,,FS Agrisolutions Industria de Biocombustiveis Ltda,,-12.4156,-55.6509,approximate,Sorriso,,,Mato Grosso,Latin America and the Caribbean,Americas,L200416,G200462,ANEEL: UTE.FL.MT.044865-6.01,,https://gem.wiki/Sorriso_power_station
Brazil,Suzano Cerrado power station,1,Usina de bioenergia Suzano Cerrado,,384,paper mill wastes,,,announced,no conversion,2026,,Suzano SA,,Suzano SA,,-20.4723,-53.6773,exact,Ribas do Rio Pardo,,,Mato Grosso do Sul,Latin America and the Caribbean,Americas,L200424,G200470,ANEEL: UTE.FL.MS.049647-2.01,,https://gem.wiki/Suzano_Cerrado_power_station
Brazil,Suzano Maranhão power station,1,Usina de biomassa Suzano Maranhão,,127,paper mill wastes,,,operating,no conversion,2014,,Suzano SA,,Suzano SA,,-5.3358,-47.5658,exact,Imperatriz,,,Maranhão,Latin America and the Caribbean,Americas,L200597,G200682,"WRI: BRA0030959, ANEEL: UTE.FL.MA.030959-1.1",,https://gem.wiki/Suzano_Maranhão_power_station
Brazil,Suzano Maranhão power station,2,Usina de biomassa Suzano Maranhão,,128,paper mill wastes,,,operating,no conversion,2014,,Suzano SA,,Suzano SA,,-5.3358,-47.5658,exact,Imperatriz,,,Maranhão,Latin America and the Caribbean,Americas,L200597,G200683,"WRI: BRA0030959, ANEEL: UTE.FL.MA.030959-1.1",,https://gem.wiki/Suzano_Maranhão_power_station
Brazil,Suzano Mucuri power station,TG1,Usina de biomassa Suzano Mucuri,Bahia Sul,38,paper mill wastes,,,operating,no conversion,1992,,Suzano SA,,Suzano SA,,-18.0425,-39.9197,exact,Mucuri,,,Bahia,Latin America and the Caribbean,Americas,L200598,G200684,"WRI: BRA0000187, ANEEL: UTE.FL.BA.000187-2.1",,https://gem.wiki/Suzano_Mucuri_power_station
Brazil,Suzano Mucuri power station,TG2,Usina de biomassa Suzano Mucuri,Bahia Sul,38,paper mill wastes,,,operating,no conversion,1992,,Suzano SA,,Suzano SA,,-18.0425,-39.9197,exact,Mucuri,,,Bahia,Latin America and the Caribbean,Americas,L200598,G200685,"WRI: BRA0000187, ANEEL: UTE.FL.BA.000187-2.1",,https://gem.wiki/Suzano_Mucuri_power_station
Brazil,Suzano Mucuri power station,TG4,Usina de biomassa Suzano Mucuri,Bahia Sul,61,paper mill wastes,,,operating,no conversion,2014,,Suzano SA,,Suzano SA,,-18.0425,-39.9197,exact,Mucuri,,,Bahia,Latin America and the Caribbean,Americas,L200598,G200686,"WRI: BRA0000187, ANEEL: UTE.FL.BA.000187-2.1",,https://gem.wiki/Suzano_Mucuri_power_station
